[08 Apr 2022, 6:50:43 AM] [Revolution GameThread] Ingmarmario1 listed: ItemName=Armour mystery box ItemAmount=2 Price=275k
[08 Apr 2022, 6:52:48 AM] [Revolution GameThread] Ingmarmario1 listed: ItemName=Heavy ballista ItemAmount=1 Price=750k
[09 Apr 2022, 1:18:30 PM] [Revolution GameThread] X1 listed: ItemName=Donator mystery box ItemAmount=1 Price=1m
[09 Apr 2022, 1:18:49 PM] [Revolution GameThread] X1 successfully canceled the offer for: Donator mystery box
[09 Apr 2022, 1:18:57 PM] [Revolution GameThread] X1 listed: ItemName=Donator mystery box ItemAmount=1 Price=370k
[09 Apr 2022, 2:52:11 PM] [Revolution GameThread] TJ listed: ItemName=Armour mystery box ItemAmount=2 Price=270k
[13 Apr 2022, 11:37:52 AM] [Revolution GameThread] X1 successfully canceled the offer for: Donator mystery box
[13 Apr 2022, 11:38:16 AM] [Revolution GameThread] X1 listed: ItemName=Donator mystery box ItemAmount=1 Price=999k
[13 Apr 2022, 11:38:20 AM] [Revolution GameThread] X1 successfully canceled the offer for: Donator mystery box
[15 Apr 2022, 5:13:14 AM] [Revolution GameThread] Endless listed: ItemName=Armadyl helmet ItemAmount=1 Price=50k
[15 Apr 2022, 5:13:19 AM] [Revolution GameThread] Endless listed: ItemName=Armadyl chestplate ItemAmount=1 Price=50k
[15 Apr 2022, 5:13:24 AM] [Revolution GameThread] Endless listed: ItemName=Armadyl chainskirt ItemAmount=1 Price=50k
[16 Apr 2022, 10:34:19 AM] [Revolution GameThread] Endless successfully canceled the offer for: Armadyl helmet
[16 Apr 2022, 10:34:22 AM] [Revolution GameThread] Endless successfully canceled the offer for: Armadyl chestplate
[16 Apr 2022, 10:34:24 AM] [Revolution GameThread] Endless successfully canceled the offer for: Armadyl chainskirt
[16 Apr 2022, 6:05:25 PM] [Revolution GameThread] Alfieissmexy listed: ItemName=Occult necklace ItemAmount=10 Price=200k
[16 Apr 2022, 6:06:59 PM] [Revolution GameThread] Alfieissmexy successfully canceled the offer for: Occult necklace
[17 Apr 2022, 4:12:53 AM] [Revolution GameThread] Allen bought: ItemName=Armour mystery box ItemAmount=1 Price=270k
[17 Apr 2022, 6:44:48 AM] [Revolution GameThread] Ingmarmario1 listed: ItemName=Vote ticket ItemAmount=4 Price=400k
[17 Apr 2022, 8:20:26 AM] [Revolution GameThread] Thobeq listed: ItemName=Armadyl godsword ItemAmount=1 Price=150k
[17 Apr 2022, 8:20:35 AM] [Revolution GameThread] Thobeq successfully canceled the offer for: Armadyl godsword
[17 Apr 2022, 8:20:41 AM] [Revolution GameThread] Thobeq listed: ItemName=Armadyl godsword ItemAmount=2 Price=150k
[17 Apr 2022, 11:43:37 AM] [Revolution GameThread] Thobeq successfully canceled the offer for: Armadyl godsword
[17 Apr 2022, 12:29:14 PM] [Revolution GameThread] Ingmarmario1 successfully canceled the offer for: Armour mystery box
[17 Apr 2022, 12:29:25 PM] [Revolution GameThread] Ingmarmario1 successfully canceled the offer for: Donator mystery box
[17 Apr 2022, 12:56:32 PM] [Revolution GameThread] Ingmarmario1 listed: ItemName=Statius's platebody ItemAmount=1 Price=800k
[18 Apr 2022, 12:55:39 AM] [Revolution GameThread] Highelf listed: ItemName=Dragon crossbow ItemAmount=1 Price=450k
[18 Apr 2022, 1:12:35 AM] [Revolution GameThread] Highelf successfully canceled the offer for: Dragon crossbow
[18 Apr 2022, 2:07:33 PM] [Revolution GameThread] Bens listed: ItemName=Toxic blowpipe ItemAmount=1 Price=1m
